"id","x","y","habcov"
"32",2,7,-0.455481852201992
"24",4,8,0.440056671927802
"50",10,6,-0.543521210810679
"62",2,4,2.5161216706152
"11",1,9,-0.523084717486333
"92",2,1,0.230472491394701
"44",4,6,-0.359656063066045
"48",8,6,-1.37854959708354
"2",2,10,0.2279960037119
"38",8,7,-1.46668731832106
"47",7,6,-1.26085079094257
"42",2,6,-1.02391329278179
"97",7,1,-1.09515938999917
"22",2,8,-0.536889038011975
"69",9,4,1.42495711127496
"59",9,5,1.53254823328193
"1",1,10,-1.20706574938542
"30",10,8,-0.850790213236126
"95",5,1,-0.410558862528177
"88",8,2,-0.418297488146134
