"id","x","y","habcov"
"15",5,9,0.956455341960342
"55",5,5,-0.261614646418972
"3",3,10,1.09283349118223
"12",2,9,-1.00847132044466
"18",8,9,-0.963506165082216
"85",5,2,0.928637113775363
"73",3,3,-0.366967119330921
"72",2,3,-0.348382074990057
"32",2,7,-0.455481852201992
"92",2,1,0.230472491394701
"88",8,2,-0.418297488146134
"79",9,3,0.29868119001067
"97",7,1,-1.09515938999917
"19",9,9,-0.910197966348464
"22",2,8,-0.536889038011975
"1",1,10,-1.20706574938542
"94",4,1,1.0566154213276
"78",8,3,-0.720506469413049
"13",3,9,-0.791089625230341
"51",1,5,-1.75410758309162
