"id","x","y","habcov"
"30",10,8,-0.850790213236126
"73",3,3,-0.366967119330921
"20",10,9,2.33446669352768
"71",1,3,0.0535198396151446
"39",9,7,-0.37107722490163
"86",6,2,0.735831261629413
"43",3,6,-0.93333980115542
"99",9,1,0.981685036067435
"10",10,10,-0.913232247660388
"33",3,7,-0.746508628384481
"52",2,5,-0.689197863372594
"98",8,1,0.817991067785673
"93",3,1,1.6543205125019
"65",5,4,-0.0498302220971722
"92",2,1,0.230472491394701
"18",8,9,-0.963506165082216
"32",2,7,-0.455481852201992
"2",2,10,0.2279960037119
"69",9,4,1.42495711127496
"72",2,3,-0.348382074990057
