"id","x","y","habcov"
"28",8,8,-1.05206942558289
"87",7,2,0.516250610351562
"22",2,8,-0.536889016628265
"88",8,2,-0.418297499418259
"65",5,4,-0.0498302206397057
"17",7,9,-0.535778343677521
"36",6,7,-1.29198658466339
"42",2,6,-1.0239132642746
"70",10,4,0.359693169593811
"49",9,6,-0.60842889547348
"56",6,5,0.488401085138321
"72",2,3,-0.348382085561752
"93",3,1,1.65432047843933
"80",10,3,-0.279274493455887
"29",9,8,-0.0790684521198273
"3",3,10,1.09283351898193
"66",6,4,1.80417501926422
"4",4,10,-2.29920172691345
"78",8,3,-0.720506489276886
"82",2,2,-0.193801790475845
