"id","x","y","habcov"
"38",8,7,-1.46668731832106
"84",4,2,-0.18862031225682
"12",2,9,-1.00847132044466
"59",9,5,1.53254823328193
"63",3,4,0.00397598131999239
"1",1,10,-1.20706574938542
"72",2,3,-0.348382074990057
"79",9,3,0.29868119001067
"11",1,9,-0.523084717486333
"14",4,9,-0.0468736259228281
"40",10,7,-0.51461279000416
"4",4,10,-2.29920183524271
"78",8,3,-0.720506469413049
"94",4,1,1.0566154213276
"34",4,7,-0.522874423834548
"35",5,7,-1.68255034585234
"95",5,1,-0.410558862528177
"76",6,3,-0.00675873169943839
"68",8,4,1.3203622405729
"28",8,8,-1.05206946922272
