"id","x","y","habcov"
"29",9,8,-0.0790684496582322
"18",8,9,-0.963506165082216
"16",6,9,-0.0538991565023021
"14",4,9,-0.0468736259228281
"77",7,3,-1.40258225233889
"6",6,10,0.519292571437729
"66",6,4,1.80417503771822
"96",6,1,0.379212022997763
"49",9,6,-0.608428866944067
"23",3,8,-0.500484176342903
"8",8,10,-0.568722898762025
"58",8,5,-0.777856800205173
"64",4,4,-0.722801134319024
"72",2,3,-0.348382074990057
"28",8,8,-1.05206946922272
"97",7,1,-1.09515938999917
"39",9,7,-0.37107722490163
"30",10,8,-0.850790213236126
"81",1,2,-0.178899847097674
"62",2,4,2.5161216706152
