"id","x","y","habcov"
"28",8,8,-1.05206946922272
"5",5,10,0.33504749877894
"30",10,8,-0.850790213236126
"37",7,7,-2.22934579578779
"85",5,2,0.928637113775363
"18",8,9,-0.963506165082216
"86",6,2,0.735831261629413
"26",6,8,-1.47142715968934
"33",3,7,-0.746508628384481
"99",9,1,0.981685036067435
"29",9,8,-0.0790684496582322
"89",9,2,-0.204443852460341
"1",1,10,-1.20706574938542
"56",6,5,0.488401083035494
"57",7,5,1.59396054796873
"70",10,4,0.359693177339991
"63",3,4,0.00397598131999239
"44",4,6,-0.359656063066045
"72",2,3,-0.348382074990057
"69",9,4,1.42495711127496
