"id","x","y","habcov"
"100",10,1,2.10686506689547
"28",8,8,-1.05206946922272
"22",2,8,-0.536889038011975
"15",5,9,0.956455341960342
"73",3,3,-0.366967119330921
"31",1,7,1.10051538404394
"50",10,6,-0.543521210810679
"30",10,8,-0.850790213236126
"24",4,8,0.440056671927802
"59",9,5,1.53254823328193
"62",2,4,2.5161216706152
"91",1,1,-0.0625884195738028
"25",5,8,-0.637995886623421
"6",6,10,0.519292571437729
"53",3,5,-1.1827267032401
"66",6,4,1.80417503771822
"45",5,6,-1.09007669593333
"44",4,6,-0.359656063066045
"96",6,1,0.379212022997763
"61",1,4,0.57836192449268
