"id","x","y","habcov"
"25",5,8,-0.637995886623421
"42",2,6,-1.02391329278179
"69",9,4,1.42495711127496
"17",7,9,-0.535778330988315
"61",1,4,0.57836192449268
"76",6,3,-0.00675873169943839
"19",9,9,-0.910197966348464
"26",6,8,-1.47142715968934
"9",9,10,-0.587165268285117
"90",10,2,-1.2096693499025
"46",6,6,-1.09506272465367
"72",2,3,-0.348382074990057
"23",3,8,-0.500484176342903
"89",9,2,-0.204443852460341
"67",7,4,-1.00380066890592
"84",4,2,-0.18862031225682
"47",7,6,-1.26085079094257
"98",8,1,0.817991067785673
"86",6,2,0.735831261629413
"36",6,7,-1.29198657838775
